,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate,others
MDA_2,0.0,6.01,0.0,0.0,29.18,0.0,36.94,12.58,0.0,0.0,7.49,1.31,6.5,0.0
MDA_3,0.0,6.73,0.0,0.0,16.1,0.0,36.61,13.68,0.0,0.0,7.39,4.68,14.81,0.0
MDA_4,0.0,7.92,0.0,2.0,17.72,0.0,29.58,13.52,0.0,2.06,7.71,5.01,14.46,0.0
MDA_12,0.0,8.82,0.99,2.72,10.23,0.0,29.06,12.86,2.87,0.0,7.62,8.38,16.45,0.0
MDA_7,1.48,10.16,4.39,5.67,16.51,0.0,17.48,10.09,0.0,8.36,7.58,9.14,9.15,0.0
MDA_8,3.16,10.29,4.78,5.51,11.61,0.0,17.26,10.87,0.0,8.22,7.62,8.45,12.24,0.0
TAA_1,0.0,8.69,0.0,0.84,14.13,0.0,33.09,14.63,0.0,0.0,8.32,4.02,16.27,0.0
TAA_3,0.0,8.94,2.76,4.43,21.81,0.0,16.55,9.4,0.0,8.84,7.18,5.76,5.17,9.15
TAA_6,2.75,8.25,3.54,4.85,20.76,0.72,14.45,9.71,0.0,11.25,6.8,5.05,6.99,4.88
TAA_7,4.0,8.7,4.15,5.07,15.63,1.96,15.74,10.58,0.0,10.21,6.97,6.19,10.8,0.0
TAA_8,0.43,9.47,2.93,4.31,20.35,0.0,16.87,10.18,0.0,9.25,7.56,4.87,6.52,7.25
GAL_2,1.51,10.48,4.7,5.93,16.38,0.0,16.72,9.84,0.0,8.65,7.65,9.52,8.63,0.0
GAL_4,3.47,9.89,5.65,6.48,9.0,1.11,16.15,9.61,0.0,7.06,6.94,12.07,12.59,0.0
GAL_7,3.36,9.89,4.23,4.42,2.01,0.0,19.61,11.72,7.77,4.07,7.32,8.27,17.33,0.0
GAL_8,1.86,10.54,4.15,4.96,8.42,0.0,21.17,11.73,0.0,4.99,7.87,9.41,14.89,0.0
